Day,JD,Month,State_id,Year,PRCP,SNOW,TAVE,TMAX,TMIN
21,294,10,'305801',2013,0,0,58,66,50
22,295,10,'305801',2013,0,0,59,67,51
23,296,10,'305801',2013,0,0,50,55,45
24,297,10,'305801',2013,0,0,48,54,41
25,298,10,'305801',2013,0,0,47,53,40
26,299,10,'305801',2013,0,0,48,55,41
27,300,10,'305801',2013,0,0,52,58,46
28,301,10,'305801',2013,0,0,52,61,43
29,302,10,'305801',2013,0,0,50,56,44
30,303,10,'305801',2013,0,0,54,60,47
31,304,10,'305801',2013,0.06,0,60,66,53
1,305,11,'305801',2013,0.13,0,65,70,59
2,306,11,'305801',2013,0,0,62,68,55
3,307,11,'305801',2013,0,0,46,55,37
4,308,11,'305801',2013,0,0,41,46,35
5,309,11,'305801',2013,0,0,48,55,41
6,310,11,'305801',2013,0,0,55,61,49
7,311,11,'305801',2013,0.13,0,54,64,44
8,312,11,'305801',2013,0,0,45,50,40
9,313,11,'305801',2013,0,0,44,50,38
10,314,11,'305801',2013,0,0,53,61,44
11,315,11,'305801',2013,0,0,48,53,43
12,316,11,'305801',2013,0.03,0,42,52,31
13,317,11,'305801',2013,0,0,34,39,29
14,318,11,'305801',2013,0,0,43,52,33
15,319,11,'305801',2013,0,0,51,57,44
16,320,11,'305801',2013,0.05,0,53,60,45
17,321,11,'305801',2013,0.03,0,56,60,51
18,322,11,'305801',2013,0.22,0,58,65,51
19,323,11,'305801',2013,0,0,44,51,36
20,324,11,'305801',2013,0,0,38,44,32
21,325,11,'305801',2013,0,0,44,52,35
22,326,11,'305801',2013,0.07,0,54,57,51
23,327,11,'305801',2013,0,0,43,54,31
24,328,11,'305801',2013,0,0,27,30,23
25,329,11,'305801',2013,0,0,29,35,23
26,330,11,'305801',2013,0.51,0,40,47,33
27,331,11,'305801',2013,1.98,0,49,62,35
28,332,11,'305801',2013,0,0,33,35,30
29,333,11,'305801',2013,0,0,34,39,29
30,334,11,'305801',2013,0,0,32,39,25
1,335,12,'305801',2013,0,0,43,49,36
2,336,12,'305801',2013,0,0,45,49,41
3,337,12,'305801',2013,0,0,46,53,38
4,338,12,'305801',2013,0,0,47,52,41
5,339,12,'305801',2013,0.01,0,54,60,48
6,340,12,'305801',2013,0.73,0,50,62,37
7,341,12,'305801',2013,0.14,0,37,41,32
8,342,12,'305801',2013,0.08,0.7,31,33,29
9,343,12,'305801',2013,0.3,0,35,39,31
10,344,12,'305801',2013,0.23,1.4,34,37,30
11,345,12,'305801',2013,0,0,30,33,27
12,346,12,'305801',2013,0,0,27,30,23
13,347,12,'305801',2013,0,0,29,35,23
14,348,12,'305801',2013,0.73,5,28,34,22
15,349,12,'305801',2013,0.72,0,35,40,30
16,350,12,'305801',2013,0,0,29,33,25
17,351,12,'305801',2013,0.19,1.5,28,32,24
18,352,12,'305801',2013,0,0,30,37,23
19,353,12,'305801',2013,0,0,39,47,30
20,354,12,'305801',2013,0,0,47,53,41
21,355,12,'305801',2013,0.01,0,58,65,51
22,356,12,'305801',2013,0,0,66,71,61
23,357,12,'305801',2013,0.51,0,53,64,42
24,358,12,'305801',2013,0,0,34,42,26
25,359,12,'305801',2013,0,0,25,31,19
26,360,12,'305801',2013,0,0,33,36,30
27,361,12,'305801',2013,0,0,36,40,31
28,362,12,'305801',2013,0,0,46,55,36
29,363,12,'305801',2013,1.2,0,45,48,41
30,364,12,'305801',2013,0,0,34,45,23
31,365,12,'305801',2013,0,0,27,32,21
1,1,1,'305801',2014,0,0,29,33,24
2,2,1,'305801',2014,0.33,3.1,26,33,18
3,3,1,'305801',2014,0.29,3.3,14,18,9
4,4,1,'305801',2014,0,0,19,29,8
5,5,1,'305801',2014,0.14,0,34,40,27
6,6,1,'305801',2014,0.36,0,37,55,19
7,7,1,'305801',2014,0,0,12,19,4
8,8,1,'305801',2014,0,0,16,22,9
9,9,1,'305801',2014,0,0,27,32,22
10,10,1,'305801',2014,0.11,0,34,37,30
11,11,1,'305801',2014,0.5,0,48,58,37
12,12,1,'305801',2014,0.05,0,46,54,38
13,13,1,'305801',2014,0,0,44,51,37
14,14,1,'305801',2014,0.38,0,48,52,44
15,15,1,'305801',2014,0,0,43,47,39
16,16,1,'305801',2014,0,0,39,42,36
17,17,1,'305801',2014,0,0,39,44,33
18,18,1,'305801',2014,0.07,0,35,41,29
19,19,1,'305801',2014,0,0,31,38,24
20,20,1,'305801',2014,0,0,39,46,31
21,21,1,'305801',2014,0.46,11,21,31,11
22,22,1,'305801',2014,0.02,0.5,11,17,5
23,23,1,'305801',2014,0,0,14,20,7
24,24,1,'305801',2014,0,0,15,20,10
25,25,1,'305801',2014,0.04,1,24,28,19
26,26,1,'305801',2014,0,0,26,34,17
27,27,1,'305801',2014,0,0,33,44,21
28,28,1,'305801',2014,0,0,17,21,12
29,29,1,'305801',2014,0.04,0.8,19,23,14
30,30,1,'305801',2014,0,0,23,30,16
31,31,1,'305801',2014,0,0,32,39,25
1,32,2,'305801',2014,0,0,41,45,36
2,33,2,'305801',2014,0,0,48,56,39
3,34,2,'305801',2014,1.17,8,35,43,27
4,35,2,'305801',2014,0,0,29,35,22
5,36,2,'305801',2014,1.43,4,32,34,29
6,37,2,'305801',2014,0,0,27,32,21
7,38,2,'305801',2014,0,0,28,32,24
8,39,2,'305801',2014,0,0,25,29,21
9,40,2,'305801',2014,0.1,1.2,26,31,21
10,41,2,'305801',2014,0,0,25,29,21
11,42,2,'305801',2014,0,0,21,26,16
12,43,2,'305801',2014,0,0,19,25,13
13,44,2,'305801',2014,1.78,9.5,30,36,24
14,45,2,'305801',2014,0.3,3,36,40,31
15,46,2,'305801',2014,0.13,1.6,32,37,27
16,47,2,'305801',2014,0,0,26,30,21
17,48,2,'305801',2014,0,0,25,32,18
18,49,2,'305801',2014,0.16,1.5,33,39,26
19,50,2,'305801',2014,0.26,0,40,45,34
20,51,2,'305801',2014,0.03,0,44,51,37
21,52,2,'305801',2014,0.09,0,43,49,36
22,53,2,'305801',2014,0,0,47,54,40
23,54,2,'305801',2014,0,0,49,54,43
24,55,2,'305801',2014,0,0,36,44,27
25,56,2,'305801',2014,0,0,29,33,24
26,57,2,'305801',2014,0.03,0.2,26,31,20
27,58,2,'305801',2014,0,0,24,34,14
28,59,2,'305801',2014,0,0,17,24,9
